"filename", "language", "JavaScript", "JSON", "PostCSS", "MS SQL", "HTML", "comment", "blank", "total"
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\checkout.css", "PostCSS", 0, 0, 98, 0, 0, 10, 14, 122
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\forgot-password.css", "PostCSS", 0, 0, 15, 0, 0, 0, 2, 17
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\home.css", "PostCSS", 0, 0, 302, 0, 0, 8, 35, 345
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\info-page.css", "PostCSS", 0, 0, 109, 0, 0, 0, 20, 129
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\login.css", "PostCSS", 0, 0, 137, 0, 0, 0, 24, 161
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\product-detail.css", "PostCSS", 0, 0, 307, 0, 0, 25, 37, 369
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\products.css", "PostCSS", 0, 0, 142, 0, 0, 3, 24, 169
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\style.css", "PostCSS", 0, 0, 305, 0, 0, 25, 33, 363
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\cart.html", "HTML", 0, 0, 0, 0, 102, 0, 6, 108
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\chinh-sach-doi-tra.html", "HTML", 0, 0, 0, 0, 158, 0, 8, 166
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\forgot-password.html", "HTML", 0, 0, 0, 0, 57, 0, 8, 65
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\home.html", "HTML", 0, 0, 0, 0, 83, 1, 5, 89
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\lien-he-ho-tro.html", "HTML", 0, 0, 0, 0, 196, 0, 8, 204
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\login.html", "HTML", 0, 0, 0, 0, 58, 0, 7, 65
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\product-detail.html", "HTML", 0, 0, 0, 0, 136, 5, 12, 153
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\products.html", "HTML", 0, 0, 0, 0, 154, 5, 10, 169
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\register.html", "HTML", 0, 0, 0, 0, 67, 0, 9, 76
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\sale.html", "HTML", 0, 0, 0, 0, 83, 1, 5, 89
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\trend.html", "HTML", 0, 0, 0, 0, 83, 1, 5, 89
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\itoshira_shop.sql", "MS SQL", 0, 0, 0, 371, 0, 91, 65, 527
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\package-lock.json", "JSON", 0, 1128, 0, 0, 0, 0, 1, 1129
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\auth-ui.js", "JavaScript", 559, 0, 0, 0, 0, 29, 36, 624
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\auth.js", "JavaScript", 164, 0, 0, 0, 0, 28, 28, 220
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\cart.js", "JavaScript", 348, 0, 0, 0, 0, 16, 27, 391
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\filter.js", "JavaScript", 53, 0, 0, 0, 0, 19, 13, 85
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\product-detail.js", "JavaScript", 357, 0, 0, 0, 0, 26, 44, 427
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\products.js", "JavaScript", 99, 0, 0, 0, 0, 4, 15, 118
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\search.js", "JavaScript", 120, 0, 0, 0, 0, 16, 21, 157
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\shared.js", "JavaScript", 30, 0, 0, 0, 0, 3, 8, 41
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\toast.js", "JavaScript", 165, 0, 0, 0, 0, 9, 11, 185
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\server.js", "JavaScript", 414, 0, 0, 0, 0, 31, 58, 503
"Total", "-", 2309, 1151, 1415, 371, 1177, 356, 600, 7379
