"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\components.css", "PostCSS", 0, 0, 331, 27, 28, 386
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\cart.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\chinh-sach-doi-tra.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\forgot-password.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\home.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\lien-he-ho-tro.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\login.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\product-detail.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\products.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\register.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\sale.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\trend.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\auth-ui.js", "JavaScript", -200, 0, 0, -10, -10, -220
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\cart.js", "JavaScript", -17, 0, 0, -3, 2, -18
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\toast.js", "JavaScript", -108, 0, 0, 0, -1, -109
"Total", "-", -325, 11, 331, 14, 19, 50
