"filename", "language", "JavaScript", "JSON", "MS SQL", "HTML", "PostCSS", "comment", "blank", "total"
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\checkout.css", "PostCSS", 0, 0, 0, 0, 98, 10, 14, 122
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\components.css", "PostCSS", 0, 0, 0, 0, 331, 27, 28, 386
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\forgot-password.css", "PostCSS", 0, 0, 0, 0, 15, 0, 2, 17
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\home.css", "PostCSS", 0, 0, 0, 0, 302, 8, 35, 345
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\info-page.css", "PostCSS", 0, 0, 0, 0, 109, 0, 20, 129
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\login.css", "PostCSS", 0, 0, 0, 0, 137, 0, 24, 161
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\product-detail.css", "PostCSS", 0, 0, 0, 0, 307, 25, 37, 369
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\products.css", "PostCSS", 0, 0, 0, 0, 142, 3, 24, 169
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\css\style.css", "PostCSS", 0, 0, 0, 0, 305, 25, 33, 363
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\cart.html", "HTML", 0, 0, 0, 103, 0, 0, 6, 109
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\chinh-sach-doi-tra.html", "HTML", 0, 0, 0, 159, 0, 0, 8, 167
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\forgot-password.html", "HTML", 0, 0, 0, 58, 0, 0, 8, 66
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\home.html", "HTML", 0, 0, 0, 84, 0, 1, 5, 90
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\lien-he-ho-tro.html", "HTML", 0, 0, 0, 197, 0, 0, 8, 205
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\login.html", "HTML", 0, 0, 0, 59, 0, 0, 7, 66
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\product-detail.html", "HTML", 0, 0, 0, 137, 0, 5, 12, 154
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\products.html", "HTML", 0, 0, 0, 155, 0, 5, 10, 170
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\register.html", "HTML", 0, 0, 0, 68, 0, 0, 9, 77
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\sale.html", "HTML", 0, 0, 0, 84, 0, 1, 5, 90
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\html\trend.html", "HTML", 0, 0, 0, 84, 0, 1, 5, 90
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\itoshira_shop.sql", "MS SQL", 0, 0, 371, 0, 0, 91, 65, 527
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\package-lock.json", "JSON", 0, 1128, 0, 0, 0, 0, 1, 1129
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\auth-ui.js", "JavaScript", 359, 0, 0, 0, 0, 19, 26, 404
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\auth.js", "JavaScript", 164, 0, 0, 0, 0, 28, 28, 220
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\cart.js", "JavaScript", 331, 0, 0, 0, 0, 13, 29, 373
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\filter.js", "JavaScript", 53, 0, 0, 0, 0, 19, 13, 85
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\product-detail.js", "JavaScript", 357, 0, 0, 0, 0, 26, 44, 427
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\products.js", "JavaScript", 99, 0, 0, 0, 0, 4, 15, 118
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\search.js", "JavaScript", 120, 0, 0, 0, 0, 16, 21, 157
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\shared.js", "JavaScript", 30, 0, 0, 0, 0, 3, 8, 41
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\scripts\toast.js", "JavaScript", 57, 0, 0, 0, 0, 9, 10, 76
"d:\main.py\BTL-Javascrips-master\BTL-Javascrips-master\server.js", "JavaScript", 414, 0, 0, 0, 0, 31, 58, 503
"Total", "-", 1984, 1151, 371, 1188, 1746, 370, 619, 7429
